step,strain,p,p_over_p_eq
466,0.015,1.37356e+07,2.30876
467,0.015,1.37311e+07,2.30801
468,0.015,1.37266e+07,2.30725
469,0.015,1.37221e+07,2.3065
470,0.015,1.37177e+07,2.30575
471,0.015,1.37132e+07,2.305
472,0.015,1.37088e+07,2.30425
473,0.015,1.37043e+07,2.30351
474,0.015,1.36999e+07,2.30276
475,0.015,1.36955e+07,2.30202
476,0.015,1.36911e+07,2.30128
477,0.015,1.36867e+07,2.30054
478,0.015,1.36823e+07,2.29981
479,0.015,1.36779e+07,2.29907
480,0.015,1.36736e+07,2.29834
481,0.015,1.36692e+07,2.29761
482,0.015,1.36649e+07,2.29688
483,0.015,1.36606e+07,2.29615
484,0.015,1.36562e+07,2.29542
485,0.015,1.36519e+07,2.2947
486,0.015,1.36476e+07,2.29398
487,0.015,1.36434e+07,2.29326
488,0.015,1.36391e+07,2.29254
489,0.015,1.36348e+07,2.29182
490,0.015,1.36306e+07,2.29111
491,0.015,1.36263e+07,2.29039
492,0.015,1.36221e+07,2.28968
493,0.015,1.36178e+07,2.28897
494,0.015,1.36136e+07,2.28826
495,0.015,1.36094e+07,2.28755
496,0.015,1.36052e+07,2.28685
497,0.015,1.3601e+07,2.28615
498,0.015,1.35969e+07,2.28544
499,0.015,1.35927e+07,2.28474
500,0.015,1.35885e+07,2.28404
501,0.015,1.35844e+07,2.28335
502,0.015,1.35803e+07,2.28265
503,0.015,1.35761e+07,2.28196
504,0.015,1.3572e+07,2.28127
505,0.015,1.35679e+07,2.28058
506,0.015,1.35638e+07,2.27989
507,0.015,1.35597e+07,2.2792
508,0.015,1.35556e+07,2.27851
509,0.015,1.35516e+07,2.27783
510,0.015,1.35475e+07,2.27715
511,0.015,1.35435e+07,2.27647
512,0.015,1.35394e+07,2.27579
513,0.015,1.35354e+07,2.27511
514,0.015,1.35314e+07,2.27443
515,0.015,1.35273e+07,2.27376
516,0.015,1.35233e+07,2.27308
517,0.015,1.35193e+07,2.27241
518,0.015,1.35153e+07,2.27174
519,0.015,1.35114e+07,2.27107
520,0.015,1.35074e+07,2.27041
521,0.015,1.35034e+07,2.26974
522,0.015,1.34995e+07,2.26908
523,0.015,1.34955e+07,2.26841
524,0.015,1.34916e+07,2.26775
525,0.015,1.34877e+07,2.26709
526,0.015,1.34838e+07,2.26643
527,0.015,1.34799e+07,2.26578
528,0.015,1.3476e+07,2.26512
529,0.015,1.34721e+07,2.26447
530,0.015,1.34682e+07,2.26382
531,0.015,1.34643e+07,2.26317
532,0.015,1.34605e+07,2.26252
533,0.015,1.34566e+07,2.26187
534,0.015,1.34528e+07,2.26122
535,0.015,1.34489e+07,2.26058
536,0.015,1.34451e+07,2.25993
537,0.015,1.34413e+07,2.25929
538,0.015,1.34375e+07,2.25865
539,0.015,1.34337e+07,2.25801
540,0.015,1.34299e+07,2.25737
541,0.015,1.34261e+07,2.25673
542,0.015,1.34223e+07,2.2561
543,0.015,1.34185e+07,2.25547
544,0.015,1.34148e+07,2.25483
545,0.015,1.3411e+07,2.2542
546,0.015,1.34073e+07,2.25357
547,0.015,1.34035e+07,2.25294
548,0.015,1.33998e+07,2.25232
549,0.015,1.33961e+07,2.25169
550,0.015,1.33923e+07,2.25107
551,0.015,1.33886e+07,2.25044
552,0.015,1.33849e+07,2.24982
553,0.015,1.33812e+07,2.2492
554,0.015,1.33776e+07,2.24858
555,0.015,1.33739e+07,2.24796
556,0.015,1.33702e+07,2.24735
557,0.015,1.33666e+07,2.24673
558,0.015,1.33629e+07,2.24612
559,0.015,1.33593e+07,2.24551
560,0.015,1.33556e+07,2.2449
561,0.015,1.3352e+07,2.24429
562,0.015,1.33484e+07,2.24368
563,0.015,1.33448e+07,2.24307
564,0.015,1.33412e+07,2.24246
565,0.015,1.33376e+07,2.24186
566,0.015,1.3334e+07,2.24126
567,0.015,1.33304e+07,2.24065
568,0.015,1.33268e+07,2.24005
569,0.015,1.33233e+07,2.23945
570,0.015,1.33197e+07,2.23885
571,0.015,1.33161e+07,2.23826
572,0.015,1.33126e+07,2.23766
573,0.015,1.33091e+07,2.23707
574,0.015,1.33055e+07,2.23647
575,0.015,1.3302e+07,2.23588
576,0.015,1.32985e+07,2.23529
577,0.015,1.3295e+07,2.2347
578,0.015,1.32915e+07,2.23411
579,0.015,1.3288e+07,2.23352
580,0.015,1.32845e+07,2.23294
581,0.015,1.3281e+07,2.23235
582,0.015,1.32775e+07,2.23177
583,0.015,1.32741e+07,2.23119
584,0.015,1.32706e+07,2.23061
585,0.015,1.32672e+07,2.23002
586,0.015,1.32637e+07,2.22945
587,0.015,1.32603e+07,2.22887
588,0.015,1.32568e+07,2.22829
589,0.015,1.32534e+07,2.22772
590,0.015,1.325e+07,2.22714
591,0.015,1.32466e+07,2.22657
592,0.015,1.32432e+07,2.226
593,0.015,1.32398e+07,2.22543
594,0.015,1.32364e+07,2.22486
595,0.015,1.3233e+07,2.22429
596,0.015,1.32297e+07,2.22372
597,0.015,1.32263e+07,2.22315
598,0.015,1.32229e+07,2.22259
599,0.015,1.32196e+07,2.22202
600,0.015,1.32162e+07,2.22146
601,0.015,1.32129e+07,2.2209
602,0.015,1.32095e+07,2.22034
603,0.015,1.32062e+07,2.21978
604,0.015,1.32029e+07,2.21922
605,0.015,1.31996e+07,2.21866
606,0.015,1.31963e+07,2.21811
607,0.015,1.3193e+07,2.21755
608,0.015,1.31897e+07,2.217
609,0.015,1.31864e+07,2.21645
610,0.015,1.31831e+07,2.21589
611,0.015,1.31798e+07,2.21534
612,0.015,1.31765e+07,2.21479
613,0.015,1.31733e+07,2.21424
614,0.015,1.317e+07,2.2137
615,0.015,1.31668e+07,2.21315
616,0.015,1.31635e+07,2.2126
617,0.015,1.31603e+07,2.21206
618,0.015,1.31571e+07,2.21152
619,0.015,1.31538e+07,2.21098
620,0.015,1.31506e+07,2.21043
621,0.015,1.31474e+07,2.20989
622,0.015,1.31442e+07,2.20935
623,0.015,1.3141e+07,2.20882
624,0.015,1.31378e+07,2.20828
625,0.015,1.31346e+07,2.20774
626,0.015,1.31314e+07,2.20721
627,0.015,1.31282e+07,2.20667
628,0.015,1.31251e+07,2.20614
629,0.015,1.31219e+07,2.20561
630,0.015,1.31187e+07,2.20508
631,0.015,1.31156e+07,2.20455
632,0.015,1.31125e+07,2.20402
633,0.015,1.31093e+07,2.20349
634,0.015,1.31062e+07,2.20297
635,0.015,1.3103e+07,2.20244
636,0.015,1.30999e+07,2.20191
637,0.015,1.30968e+07,2.20139
638,0.015,1.30937e+07,2.20087
639,0.015,1.30906e+07,2.20035
640,0.015,1.30875e+07,2.19982
641,0.015,1.30844e+07,2.19931
642,0.015,1.30813e+07,2.19879
643,0.015,1.30782e+07,2.19827
644,0.015,1.30752e+07,2.19775
645,0.015,1.30721e+07,2.19723
646,0.015,1.3069e+07,2.19672
647,0.015,1.3066e+07,2.19621
648,0.015,1.30629e+07,2.19569
649,0.015,1.30599e+07,2.19518
650,0.015,1.30568e+07,2.19467
651,0.015,1.30538e+07,2.19416
652,0.015,1.30508e+07,2.19365
653,0.015,1.30477e+07,2.19314
654,0.015,1.30447e+07,2.19263
655,0.015,1.30417e+07,2.19213
656,0.015,1.30387e+07,2.19162
657,0.015,1.30357e+07,2.19112
658,0.015,1.30327e+07,2.19061
659,0.015,1.30297e+07,2.19011
660,0.015,1.30267e+07,2.18961
661,0.015,1.30237e+07,2.18911
662,0.015,1.30207e+07,2.18861
663,0.015,1.30178e+07,2.18811
664,0.015,1.30148e+07,2.18761
665,0.015,1.30119e+07,2.18711
666,0.015,1.30089e+07,2.18662
667,0.015,1.3006e+07,2.18612
668,0.015,1.3003e+07,2.18562
669,0.015,1.30001e+07,2.18513
670,0.015,1.29971e+07,2.18464
671,0.015,1.29942e+07,2.18415
672,0.015,1.29913e+07,2.18365
673,0.015,1.29884e+07,2.18316
